Hospital_name,Address,Phone_number,Rating,No_of_people_rated,Reviews,latitude,longitude
Fortis Hospital Electronic City,"149, Main Rd, Electronic City, Bangalore",+91 7030890162,3.8,2480,Affordable and reliable healthcare,13.091063,77.532937
Trustwell Hospital Jayanagar,"149, Ring Rd, Jayanagar, Bangalore",+91 7430917571,3.9,1444,Good infrastructure and hygiene,12.856682,77.784351
Fortis Hospital Indiranagar,"150, Hospital Rd, Indiranagar, Bangalore",+91 9902238507,4.5,1183,Affordable and reliable healthcare,13.130681,77.432474
Sri Lakshmi Hospital Indiranagar,"38, Ring Rd, Indiranagar, Bangalore",+91 7892335922,3.6,815,Doctors explained the treatment clearly,13.07568,77.48059
Vijaya Hospital Rajajinagar,"140, 1st Cross, Rajajinagar, Bangalore",+91 8808575033,4.5,1199,Affordable and reliable healthcare,13.139935,77.76219
LifePlus Hospital Basavanagudi,"84, Hospital Rd, Basavanagudi, Bangalore",+91 8652544264,4,542,Doctors explained the treatment clearly,13.030874,77.51886
MedStar Hospital BTM Layout,"32, 2nd Stage, BTM Layout, Bangalore",+91 6429742198,3.5,1207,Friendly nurses and well maintained facility,12.987781,77.613169
Vijaya Hospital Banashankari,"133, 1st Cross, Banashankari, Bangalore",+91 6847280313,4.7,2080,Good infrastructure and hygiene,13.013784,77.564177
Apollo Hospital Frazer Town,"2, Hospital Rd, Frazer Town, Bangalore",+91 6411217776,4.1,696,Average waiting time but good treatment,12.842283,77.43223
Columbia Asia Hospital Bellandur,"120, Market Rd, Bellandur, Bangalore",+91 7019167338,4.6,1387,Clean hospital with quick service,13.108341,77.601739
Aster Hospital Whitefield,"140, 1st Cross, Whitefield, Bangalore",+91 6378180375,4,236,Friendly nurses and well maintained facility,13.01264,77.570767
Sparsh Hospital Bellandur,"156, Lake View Rd, Bellandur, Bangalore",+91 8670079379,3,2408,Affordable and reliable healthcare,13.024613,77.461219
Sakra Hospital KR Puram,"26, Outer Ring Rd, KR Puram, Bangalore",+91 7978425665,4.5,618,Average waiting time but good treatment,13.009649,77.656795
Apollo Hospital Hebbal,"95, Market Rd, Hebbal, Bangalore",+91 6419580719,4.3,1187,Good doctors and supportive staff,13.128031,77.4956
Fortis Hospital Whitefield,"74, Ring Rd, Whitefield, Bangalore",+91 8289874632,3.2,1918,Good infrastructure and hygiene,13.182563,77.637001
Narayana Hospital Domlur,"84, Outer Ring Rd, Domlur, Bangalore",+91 6508170414,4.1,2368,Average waiting time but good treatment,12.969412,77.483407
Vijaya Hospital Bellandur,"189, Ring Rd, Bellandur, Bangalore",+91 8701240137,4.2,1040,Emergency services were very fast,13.032848,77.663157
